bioguide id,name,state,role,education
,Firstname Lastname,State (Unabbreviated),Role (Unabbreviated),"School (Unabbreviated), Degree (Abbreviated), Year; ..."
,,,,
S001198,Dan Sullivan,Alaska,Senator,"graduated Culver Military Academy, Culver, Ind., 1983; B.A., Harvard University, 1987; M.F.S. and J.D., Georgetown University, 1993; United States Marine Corps 1993-1997; United States Marine Corps Reserves 1997-present, attaining the rank of lieutenant colonel"
M001153,Lisa Murkowski,Alaska,Senator,"attended public schools in Fairbanks, AK; attended Willamette University in Salem, Oregon, 1975-1977; B.A. in Economics, Georgetown University 1980; J.D., Willamette College of Law 1985"
B001323,Nicholas J. Begich III,Alaska,Representative,"graduated from The Master's Academy, Oviedo, Fla., 1995; B.B.A., Baylor University, Waco, Tex., 1999; M.B.A., Indiana University, Bloomington, Ind., 2002"
B001319,Katie Boyd Britt,Alabama,Senator,"B.S., political science, University of Alabama, 2004; J.D., University of Alabama School of Law, 2013"
T000278,Tommy Tuberville,Alabama,Senator,"B.S., physical education, Southern Arkansas University, 1976; college football coach"
M001212,Barry Moore,Alabama,Representative,"A.S., Enterprise State Junior College, Enterprise, Ala., 1988; attended Troy State University, Troy, Ala.; B.S., Auburn University, Auburn, Ala., 1992"
F000481,Shomari Figures,Alabama,Representative,"B.A., University of Alabama, Tuscaloosa, Ala., 2006; J.D., University of Alabama, Tuscaloosa, Ala., 2010; staff, United States District Court, Eastern District of Missouri, 2011-2012"
R000575,Mike Rogers,Alabama,Representative,"B.A., Jacksonville State University, Jacksonville, Ala., 1981; M.P.A., Jacksonville State University, Jacksonville, Ala., 1984; J.D., Birmingham School of Law, Birmingham, Ala., 1991; member of the Calhoun County, Ala., commission, 1987-1990"
A000055,Robert B. Aderholt,Alabama,Representative,"B.A., Birmingham Southern College, Birmingham, Ala., 1987; J.D., Samford University, Birmingham, Ala., 1990"
S001220,Dale W. Strong,Alabama,Representative,"B.S., Athens State University, Athens, Ala., 1992"
P000609,Gary J. Palmer,Alabama,Representative,"attended Northwest Alabama Junior College, Phil Campbell, Ala., 1972-1974; B.S., University of Alabama, Tuscaloosa, Ala., 1977"
S001185,Terri A. Sewell,Alabama,Representative,"A.B., Princeton University, Princeton, N.J., 1986; M.A., Oxford University, Oxford, England, 1988; J.D., Harvard University, Cambridge, Mass., 1992"
B001236,John Boozman,Arkansas,Senator,"attended the University of Arkansas, Fayetteville, Ark., 1969-1972; graduated Southern College of Optometry, 1977"
C001095,Tom Cotton,Arkansas,Senator,"A.B., Harvard University, Cambridge, Mass., 1998; attended Claremont Graduate University, Claremont, Calif., 1998-1999; J.D., Harvard University, Cambridge, Mass., 2002; United States Army, 2004-2009; clerk, U.S. Court of Appeals, 2002-2003"
C001087,"Eric A. ""Rick"" Crawford",Arkansas,Representative,"B.S., Arkansas State University, Jonesboro, Ark., 1996"
H001072,J. French Hill,Arkansas,Representative,"B.S., Vanderbilt University, Nashville, Tenn., 1979"
W000809,Steve Womack,Arkansas,Representative,"B.A., Arkansas Tech University, Russellville, Ark., 1979; Arkansas Army National Guard, 1979-2009"
W000821,Bruce Westerman,Arkansas,Representative,"B.S., University of Arkansas, Fayetteville, Ark., 1990; M.F., Yale Forestry School, New Haven, Conn., 2001"
R000600,Aumua Amata Coleman Radewagen,American Samoa (US Territory),Representative,"attended Sacred Hearts Academy, Honolulu, Hawaii; B.S., University of Guam, 1975; attended George Mason University, Fairfax, Va.; attended Loyola Marymount University, Los Angeles, Calif."
K000377,Mark Kelly,Arizona,Senator,"B.S., marine engineering and nautical science, United States Merchant Marine Academy, 1986; M.S., aeronautical engineering, United States Naval Postgraduate School, 1994; naval aviator, United States Navy 1987-2012, attaining the rank of captain"
